,Name,Author,Image URL,Cooking Time
139,Omelet Mousseline,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-CLASSICOMELET-1/DINING-CLASSICOMELET-1-mediumThreeByTwo252.jpg,5 minutes
140,Omelet,Melissa Clark,https://static01.nyt.com/images/2017/01/15/dining/DINING-CLASSICOMELET-2/DINING-CLASSICOMELET-2-mediumThreeByTwo252-v5.jpg,5 minutes
141,Dijon and Cognac Beef Stew,Regina Schrambling,https://static01.nyt.com/images/2018/10/30/dining/rs-dijon-and-cognac-beef-stew/rs-dijon-and-cognac-beef-stew-mediumThreeByTwo252.jpg,About 3 hours
142,Chinese Stir-Fried Tomatoes and Eggs,Francis Lam,https://static01.nyt.com/images/2017/02/05/magazine/05eat-copy/05mag-05eat-t_CA0-mediumThreeByTwo252.jpg,20 minutes
143,Steak Tartare,Gabrielle Hamilton,https://static01.nyt.com/images/2017/01/01/magazine/01steak-tartare/01steak-tartare-mediumThreeByTwo252.jpg,30 minutes (including time in the freezer)
144,Morning Glory Muffins,Samantha Seneviratne,https://static01.nyt.com/images/2016/12/30/dining/30COOKING-MORNINGGLORY-MUFFINS1/30COOKING-MORNINGGLORY-MUFFINS1-mediumThreeByTwo252.jpg,About 1 hour
145,Chicken-Skin Garnish,Gabrielle Hamilton,https://static01.nyt.com/images/2017/01/29/magazine/29eat-skin/29mag-29eat-t_CA0-mediumThreeByTwo252.jpg,1 hour 20 minutes
146,Chicken Meatballs,Gabrielle Hamilton,https://static01.nyt.com/images/2017/01/29/magazine/29eat-meatballs/29mag-29eat-t_CA0-mediumThreeByTwo252.jpg,45 minutes
147,Stewed Chicken and Rice,Gabrielle Hamilton,https://static01.nyt.com/images/2017/01/29/magazine/29eat/29mag-29eat-t_CA0-mediumThreeByTwo252.jpg,1 hour 30 minutes
148,Pressure Cooker Pork With Citrus and Mint,Melissa Clark,https://static01.nyt.com/images/2017/02/01/dining/01APPE2/01APPE2-mediumThreeByTwo252.jpg,2 hours 30 minutes
149,Marcella Hazan’s Roast Chicken With Lemons,The New York Times,https://static01.nyt.com/images/2015/06/08/dining/08ROASTCHICKEN/08ROASTCHICKEN-mediumThreeByTwo252.jpg,2 hours
150,Clam-Chowder Pizza,Sam Sifton,https://static01.nyt.com/images/2017/01/15/magazine/15eat-1/15eat-1-mediumThreeByTwo252.jpg,"About 1 hour 15 minutes, plus 1 hour heating time"
151,One-Pot Spaghetti With Cherry Tomatoes and Kale,Tejal Rao,https://static01.nyt.com/images/2018/12/20/dining/one-pot-spaghetti-tomatoes-kale-horizontal/one-pot-spaghetti-tomatoes-kale-horizontal-mediumThreeByTwo252-v2.jpg,20 minutes
152,Swiss Chard Slab Pie,Tejal Rao,https://static01.nyt.com/images/2016/09/28/dining/28MODERN1/28MODERN1-mediumThreeByTwo252.jpg,1 1/2 hours
153,Aligot (Mashed Potatoes With Cheese),Tejal Rao,https://static01.nyt.com/images/2016/11/20/magazine/20eat-copy/20eat-mediumThreeByTwo252.jpg,30 minutes
154,Tourtière,Sam Sifton,https://static01.nyt.com/images/2016/12/11/magazine/11eat1/11eat1-mediumThreeByTwo252-v2.jpg,6 hours (can be made serially)
155,Rainbow Sprinkle Cake,Julia Moskin,https://static01.nyt.com/images/2019/04/01/dining/jm-rainbow-sprinkle-cake/jm-rainbow-sprinkle-cake-mediumThreeByTwo252-v2.jpg,"1 1/2 hours, plus cooling"
156,Celery Toasts,Gabrielle Hamilton,https://static01.nyt.com/images/2016/10/23/magazine/23eat/23mag-23eat-t_CA1-mediumThreeByTwo252.jpg,12 minutes
157,"Oyster Pie With Leeks, Bacon and Mashed Potatoes",David Tanis,https://static01.nyt.com/images/2016/11/02/dining/02KITCHEN1/02KITCHEN1-mediumThreeByTwo252.jpg,About 1 hour
158,Auntie Khar Imm’s Chile Sauce,Francis Lam,https://static01.nyt.com/images/2016/10/30/magazine/30chile-sauce/30chile-sauce-mediumThreeByTwo252.jpg,5 minutes
159,Singaporean Braised Duck,Francis Lam,https://static01.nyt.com/images/2016/10/30/magazine/30eat/30eat-mediumThreeByTwo252.jpg,"1 hour 15 minutes, plus marinating time"
160,Chicken Braised With Grapes,Florence Fabricant,https://static01.nyt.com/images/2016/09/28/dining/28PAIR-WEB/28PAIR-WEB-mediumThreeByTwo252.jpg,1 hour
161,Broccoli Salad With Cheddar and Warm Bacon Vinaigrette,Margaux Laskey,https://static01.nyt.com/images/2016/09/28/dining/28POOLES-WEB1/28POOLES-WEB1-mediumThreeByTwo252.jpg,45 minutes
162,Moo Shu Pork,Sara Bonisteel,https://static01.nyt.com/images/2016/09/28/dining/28CHINESE-WEB2/28CHINESE-WEB2-mediumThreeByTwo252.jpg,45 minutes
163,Breakfast Carbonara,Kim Severson,https://static01.nyt.com/images/2016/09/28/dining/28ALTON6-WEB/28ALTON6-WEB-mediumThreeByTwo252.jpg,45 minutes
164,Chicken Congee,Sara Bonisteel,https://static01.nyt.com/images/2016/09/28/dining/28CHINESE-WEB1/28CHINESE-WEB1-mediumThreeByTwo252.jpg,2 1/4 hours
165,Sweet Potatoes With Yogurt and Cilantro-Chile Sauce,Melissa Clark,https://static01.nyt.com/images/2016/09/28/dining/28DIANA-HENRY6-WEB/28DIANA-HENRY6-WEB-mediumThreeByTwo252.jpg,1 hour
166,Modern Chicken Potpie,Julia Moskin,https://static01.nyt.com/images/2017/11/20/dining/20COOKING-CHICKPOTPIE1/20COOKING-CHICKPOTPIE1-mediumThreeByTwo252.jpg,1 hour
167,Vertamae Smart-Grosvenor’s Onion Pie,Tejal Rao,https://static01.nyt.com/images/2016/10/16/magazine/16eat/16mag-16eat-t_CA0-mediumThreeByTwo252.jpg,1 hour
168,Green Goddess Roasted Chicken,Melissa Clark,https://static01.nyt.com/images/2013/08/23/dining/video-clark-greengoddess/video-clark-greengoddess-videoSixteenByNine310.jpg,1 1/4 hours plus at least 6 hours marinating
169,Chicken Tetrazzini,Sam Sifton,https://static01.nyt.com/images/2016/10/02/magazine/02eat/02mag-02eat-t_CA0-mediumThreeByTwo252.jpg,1 hour 30 minutes
170,Garlic and Thyme Roasted Chicken With Crispy Drippings Croutons,Melissa Clark,https://static01.nyt.com/images/2016/05/23/dining/thyme-roast-chicken/thyme-roast-chicken-mediumThreeByTwo252.jpg,1 hour 25 minutes
171,Hot Honey Shrimp,Melissa Clark,https://static01.nyt.com/images/2018/12/05/dining/hot-honey-shrimp-horizontal/merlin_147457098_d52160bb-f821-42d5-9db6-d79a9469d2e3-mediumThreeByTwo252.jpg,10 minutes
172,Outdoor Porchetta,Julia Moskin,https://static01.nyt.com/images/2016/06/22/dining/22PORCHETTAREX/22PORCHETTAREX-mediumThreeByTwo252.jpg,About 5 hours
173,Pla Goong (Spicy Thai Shrimp Salad),Francis Lam,https://static01.nyt.com/images/2016/07/17/magazine/17eat/17eat-mediumThreeByTwo252-v3.jpg,35 minutes
174,Clam in a Can,Rosie Schaap,https://static01.nyt.com/images/2016/07/24/magazine/24mag-clam-in-a-can/24mag-clam-in-a-can-mediumThreeByTwo252.jpg,
175,Prune Pudding,Steven Kurutz,https://static01.nyt.com/images/2016/08/10/dining/10DEPRESSION-WEB2/10DEPRESSION-WEB2-mediumThreeByTwo252.jpg,"1 hour 35 minutes, plus an hour for chilling"
176,Tahini Ranch Dressing,Tejal Rao,https://static01.nyt.com/images/2016/08/28/magazine/28eat/28mag-28eat-t_CA0-mediumThreeByTwo252.jpg,15 minutes
177,Patty Melts,Sam Sifton,https://static01.nyt.com/images/2016/09/04/magazine/04patty2/04patty2-mediumThreeByTwo252.jpg,1 hour
178,Portobello Patty Melts,Sam Sifton,https://static01.nyt.com/images/2016/09/04/magazine/04portobello2/04portobello2-mediumThreeByTwo252.jpg,1 hour
179,Savory Clafoutis With Corn and Swiss Chard,Melissa Clark,https://static01.nyt.com/images/2016/09/08/multimedia/clark-clafouti/clark-clafouti-mediumThreeByTwo252.jpg,1 1/4 hours
180,Original Plum Torte,Marian Burros,https://static01.nyt.com/images/2014/04/18/dining/plumtorte/plumtorte-videoSixteenByNine310.jpg,1 hour 15 minutes
181,Cherry Frangipane Tart,David Tanis,https://static01.nyt.com/images/2015/06/05/dining/05CHERRYTART/05CHERRYTART-mediumThreeByTwo252-v3.jpg,2 hours
182,Porchetta Pork Chops,Melissa Clark,https://static01.nyt.com/images/2014/09/03/dining/porchetta/porchetta-videoSixteenByNine310.jpg,20 minutes
183,Flattened Chicken Thighs With Roasted Lemon Slices,Julia Moskin,https://static01.nyt.com/images/2016/06/29/dining/29CASTIRON-WEB6/29CASTIRON-WEB6-mediumThreeByTwo252.jpg,1 hour plus 2 hours' marinating
184,Cold Spicy Kimchi Noodles,David Tanis,https://static01.nyt.com/images/2016/07/06/dining/06KITCHEN1-WEB/06KITCHEN1-WEB-mediumThreeByTwo252.jpg,30 minutes
185,Blueberry Pie,Sam Sifton,https://static01.nyt.com/images/2019/08/06/dining/ss-blueberry-pie/ss-blueberry-pie-mediumThreeByTwo252.jpg,"2 hours, 30 minutes"
186,Best Chicken Salad,Julia Moskin,https://static01.nyt.com/images/2016/07/13/dining/13RECIPE-LAB1-WEB/13RECIPE-LAB1-WEB-mediumThreeByTwo252-v3.jpg,"20 minutes, plus 2 hours' resting and 4 hours' chilling"
187,Grilled Scallion Lamb,Florence Fabricant,https://static01.nyt.com/images/2016/07/27/dining/27PAIR-WEB/27PAIR-WEB-mediumThreeByTwo252.jpg,"45 minutes, plus 3 hours' marinating"
188,Shrikhand (Sweet Strained Yogurt),Tejal Rao,https://static01.nyt.com/images/2016/07/31/magazine/31eat/31mag-31eat-t_CA0-mediumThreeByTwo252.jpg,"10 minutes, plus 24 hours straining"
189,Basic Yogurt Sauce,Samin Nosrat,https://static01.nyt.com/images/2016/08/03/dining/03JPSAUCE3/03JPSAUCE3-mediumThreeByTwo252.jpg,5 minutes
190,Caramel Peach Skillet Pie,Melissa Clark,https://static01.nyt.com/images/2016/07/26/multimedia/clark-peaches/clark-peaches-mediumThreeByTwo252.jpg,2 1/2 hours
191,Roasted Potato Hash,Sam Sifton,https://static01.nyt.com/images/2016/08/07/magazine/07eat/07mag-07eat-t_CA0-mediumThreeByTwo252.jpg,1 hour 15 minutes
192,Basic Tahini Sauce,Samin Nosrat,https://static01.nyt.com/images/2016/08/03/dining/03SAUCE-WEB7/03SAUCE-WEB7-mediumThreeByTwo252.jpg,10 minutes
193,Basic Pepper Salsa,Samin Nosrat,https://static01.nyt.com/images/2016/08/03/dining/03JPSAUCE4/03JPSAUCE4-mediumThreeByTwo252.jpg,30 minutes
194,"Charred Tomatoes With Egg, Anchovies and Bread Crumbs",David Tanis,https://static01.nyt.com/images/2016/08/10/dining/10KITCH-WEB1/10KITCH-WEB1-mediumThreeByTwo252.jpg,30 minutes
195,Green Tomato Chowchow,Matt Lee And Ted Lee,https://static01.nyt.com/images/2014/05/13/dining/chowchow-still/chowchow-still-videoSixteenByNine310.jpg,45 minutes
196,Simplest Grilled Salmon,Sam Sifton,https://static01.nyt.com/images/2017/06/30/dining/grilled-salmon/grilled-salmon-mediumThreeByTwo252-v2.jpg,10 minutes
197,Adobo-Fried Chicken,Julia Moskin,https://static01.nyt.com/images/2016/06/28/dining/28COOKING-FRIEDCHICKENGUIDE15/28COOKING-FRIEDCHICKENGUIDE15-mediumThreeByTwo252.jpg,1 hour 20 minutes
198,Buttermilk Fried Chicken,Sam Sifton,https://static01.nyt.com/images/2016/07/25/dining/25FRIED-CHICKEN/25FRIED-CHICKEN-mediumThreeByTwo252-v2.jpg,45 minutes
199,Sourdough Pancake or Waffle Batter,Sam Sifton,https://static01.nyt.com/images/2016/03/23/dining/23SOURDOUGH4/23SOURDOUGH4-mediumThreeByTwo252.jpg,"15 minutes, plus overnight rest"
200,Clam Fritters,Sam Sifton,https://static01.nyt.com/images/2016/07/24/magazine/24eat/24mag-24eat-t_CA0-mediumThreeByTwo252.jpg,1 hour
201,"Warm Kale, Coconut and Tomato Salad",Sam Sifton,https://static01.nyt.com/images/2019/01/17/dining/ss-warm-kale-salad/merlin_148333509_26952b3d-69be-4e08-90a1-c22259291d94-mediumThreeByTwo252.jpg,40 minutes
202,Short-Grained Rice,Sam Sifton,https://static01.nyt.com/images/2015/11/29/magazine/29eat1/29eat1-mediumThreeByTwo252.jpg,30-35 minutes
203,Roasted Grapefruit,Sam Sifton,https://static01.nyt.com/images/2016/02/16/dining/16COOKING-ROASTEDGRAPEFRUIT2/16COOKING-ROASTEDGRAPEFRUIT2-mediumThreeByTwo252.jpg,15 minutes
204,"Grilled Leg of Lamb, Sam's Way",Mark Bittman And Sam Sifton,https://static01.nyt.com/images/2014/04/10/dining/LambBittman/LambBittman-videoSixteenByNine310.jpg,"About 1 hour, plus time to heat the grill"
205,Henrietta’s Hash Browns,Sam Sifton,https://static01.nyt.com/images/2014/04/03/dining/Henriettas-Hash-Browns/Henriettas-Hash-Browns-videoSixteenByNine310.jpg,1 hour 30 minutes
206,"Grilled Sausages, Onions and Peppers",Sam Sifton,https://static01.nyt.com/images/2015/07/15/dining/15SAUSAGE/15SAUSAGE-mediumThreeByTwo252.jpg,40 minutes
207,Chilled Shrimp With Lobster Butter,Sam Sifton,https://static01.nyt.com/images/2015/05/20/dining/20ENTREE1/20ENTREE1-mediumThreeByTwo252.jpg,"15 minutes, plus chilling"
208,Corn Bread,Sam Sifton,https://static01.nyt.com/images/2015/10/26/dining/26COOKING_CORNBREAD/26COOKING_CORNBREAD-mediumThreeByTwo252.jpg,45 minutes
209,Lemon Poundcake,Sam Sifton,https://static01.nyt.com/images/2015/12/24/dining/24COOKING-LEMONPOUNDCAKE/24COOKING-LEMONPOUNDCAKE-mediumThreeByTwo252-v2.jpg,2 hours 30 minutes
210,Bobby Flay’s Salted Caramel Sauce,Sam Sifton,https://static01.nyt.com/images/2015/10/12/dining/12CHOCPANCAKES3/12CHOCPANCAKES3-mediumThreeByTwo252.jpg,20 minutes
211,Smoked Chicken Wings,Sam Sifton,https://static01.nyt.com/images/2016/05/25/dining/25WINGS/25WINGS-mediumThreeByTwo252-v2.jpg,45 minutes
212,Cuban-Style Arroz Congrí,Kim Severson,https://static01.nyt.com/images/2016/05/18/dining/18JPCUBA3/18JPCUBA3-mediumThreeByTwo252.jpg,1 1/2 to 2 1/2 hours
213,Beet- and Horseradish-Cured Salmon,Ian Fisher,https://static01.nyt.com/images/2016/05/18/dining/18CURE1-WEB/18CURE1-WEB-mediumThreeByTwo252.jpg,"30 minutes, plus 3 days' curing"
214,Grilled Arctic Char With Horseradish Crema,Jeff Gordinier,https://static01.nyt.com/images/2016/05/25/dining/25CHEF6/25CHEF6-mediumThreeByTwo252.jpg,30 minutes
215,Braai-Spiced T-Bone Steaks,Julia Moskin,https://static01.nyt.com/images/2016/05/25/dining/25AFRICA-GRILLED-T-BONE-STEAK/25AFRICA-GRILLED-T-BONE-STEAK-mediumThreeByTwo252.jpg,"45 minutes, plus 1 to 4 hours' chilling"
216,Chicken Enchiladas With Salsa Verde ,Sam Sifton,https://static01.nyt.com/images/2019/01/08/dining/08CHICKEN-ENCHILADA/08CHICKEN-ENCHILADA-mediumThreeByTwo252-v2.jpg,1 hour
217,Cheese Enchiladas With Chili Gravy,Sam Sifton,https://static01.nyt.com/images/2016/06/01/dining/0601ENCHILADASJP1/0601ENCHILADASJP1-mediumThreeByTwo252.jpg,1 hour
218,Enchiladas Con Carne,Sam Sifton,https://static01.nyt.com/images/2018/04/20/dining/enchiladas/enchiladas-mediumThreeByTwo252.jpg,1 1/2 hours
219,Salted Caramel Brownies,Julia Moskin,https://static01.nyt.com/images/2016/06/07/dining/salted-caramel-brownie-2/salted-caramel-brownie-2-mediumThreeByTwo252.jpg,1 1/4 hours
220,"San Hua Kao Ji, Three-Flower Roast Chicken",Chris Buckley,https://static01.nyt.com/images/2016/06/15/dining/15JPSICHUAN4/15JPSICHUAN4-mediumThreeByTwo252.jpg,"3 hours, plus 10 hours' marinating"
221,Classic Leeks Vinaigrette,David Tanis,https://static01.nyt.com/images/2014/04/04/dining/leeksvinaigrette/leeksvinaigrette-videoSixteenByNine310.jpg,About 30 minutes
222,Sautéed Salmon With Brown Butter Cucumbers,Melissa Clark,https://static01.nyt.com/images/2014/02/20/dining/recipes-salmonwithbrownbuttercukes/recipes-salmonwithbrownbuttercukes-mediumThreeByTwo252-v2.jpg,20 minutes
223,Crusty Macaroni and Cheese,Julia Moskin,https://static01.nyt.com/images/2018/11/30/dining/jm-crusty-mac-and-cheese/jm-crusty-mac-and-cheese-mediumThreeByTwo252.jpg,1 hour 15 minutes
224,Paella of the Sea,John Willoughby,https://static01.nyt.com/images/2013/07/17/dining/20130717-GRILLING-slide-TFZB/20130717-GRILLING-slide-TFZB-tmagSF.jpg,About 2 hours
225,Bobby Flay’s Double-Chocolate Pancakes,Sam Sifton,https://static01.nyt.com/images/2015/10/12/dining/12CHOCPANCAKES2/12CHOCPANCAKES2-mediumThreeByTwo252.jpg,45 minutes
226,Caramelized Beets With Orange-Saffron Yogurt,Sam Sifton,https://static01.nyt.com/images/2016/05/20/dining/beets-yotam/beets-yotam-mediumThreeByTwo252.jpg,"1 hour, 30 minutes"
227,Celebration Cake,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes7-celebrationcake/22feastrecipes7-celebrationcake-mediumThreeByTwo252-v3.jpg,"24 hours, including freezing"
228,"Baba Ghanouj, Deconstructed",Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes4-babaghanouj/22feastrecipes4-babaghanouj-mediumThreeByTwo252.jpg,1 hour
229,Jerusalem Lamb Shawarma,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes1-lambshawarma/22feastrecipes1-lambshawarma-mediumThreeByTwo252-v2.jpg,"5 hours, plus marinating time"
230,Tomato and Pomegranate Salad,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes3-pomegranatesalad/22feast-recipes3-mediumThreeByTwo252.jpg,30 minutes
231,Cucumber-and-Mâche Salad,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes2-machesalad/22feast-recipes2-machesalad-mediumThreeByTwo252.jpg,15 minutes
232,Baked Rice,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes6-bakedrice/22feastrecipes6-bakedrice-mediumThreeByTwo252.jpg,1 hour 15 minutes
233,Grilled Asparagus With Caper Salsa,Sam Sifton,https://static01.nyt.com/images/2016/05/22/magazine/22feastrecipes5-asparagus/22feast-recipes5-mediumThreeByTwo252.jpg,25 minutes
234,Chicken With Vinegar,Mark Bittman,https://static01.nyt.com/images/2014/05/27/dining/Chicken-With-Vinegar/Chicken-With-Vinegar-videoSixteenByNine310.jpg,40 minutes
235,Buttermilk-Brown Sugar Waffles,Julia Moskin,https://static01.nyt.com/images/2015/05/20/dining/20HIT_SUGARWAFFLE/20HIT_SUGARWAFFLE-mediumThreeByTwo252.jpg,10 minutes
236,The Best Fried-Eggplant Sandwich,Sam Sifton,https://static01.nyt.com/images/2016/05/01/magazine/01eat1/01eat1-mediumThreeByTwo252-v2.png,1 hour
237,Sourdough Pizza Dough,Sam Sifton,https://static01.nyt.com/images/2016/03/23/dining/23JPSOURDOUGH2/23JPSOURDOUGH2-mediumThreeByTwo252.jpg,"30 minutes, plus 8 to 24 hours' rise"
238,Kale-Romaine Caesar Salad,Julia Moskin,https://static01.nyt.com/images/2016/03/21/multimedia/recipe-lab-kale-caesar/recipe-lab-kale-caesar-mediumThreeByTwo252.jpg,1 hour
239,Stuffed Calamari,Francis Lam,https://static01.nyt.com/images/2016/04/10/magazine/10eat/10mag-10eat-t_CA1-mediumThreeByTwo252.jpg,1 hour 30 minutes
240,Simplest Strawberry Tart,Emily Weinstein,https://static01.nyt.com/images/2016/04/13/dining/13COOKBOOK1/13COOKBOOK1-mediumThreeByTwo252.jpg,"1 hour, plus 2 hours’ chilling"
241,Beef With Horseradish-Beet Aioli,Melissa Clark,https://static01.nyt.com/images/2016/04/08/multimedia/clark-beef-tenderloin/clark-beef-tenderloin-mediumThreeByTwo252.jpg,"1 3/4 hours, plus marinating"
242,Salted Tahini Chocolate Chip Cookies,Julia Moskin,https://static01.nyt.com/images/2016/04/14/dining/14SESAME6/14SESAME6-mediumThreeByTwo252.jpg,"45 minutes, plus 12 hours' refrigeration"
243,Lemon Pudding Cake,Julia Moskin,https://static01.nyt.com/images/2014/03/28/dining/lemoncake-still/lemoncake-still-videoSixteenByNine310.jpg,1 hour
244,Jajangmyeon,Sam Sifton,https://static01.nyt.com/images/2016/04/03/magazine/03eat/03eat-mediumThreeByTwo252-v2.jpg,1 hour
245,Sourdough No-Knead Bread,Sam Sifton,https://static01.nyt.com/images/2016/03/23/dining/23SOURDOUGH2/23SOURDOUGH2-mediumThreeByTwo252.jpg,12 to 24 hours
246,Bigos,Francis Lam,https://static01.nyt.com/images/2016/03/06/magazine/06eat/06eat-mediumThreeByTwo252-v3.jpg,"3 1/2 to 7 1/2 hours, depending on your preference"
247,Sichuan Chicken With Chiles,Mark Bittman,https://static01.nyt.com/images/2016/03/30/dining/30COOKING3/30COOKING3-mediumThreeByTwo252.jpg,40 minutes
248,Korean Meatballs and Noodles,Florence Fabricant,https://static01.nyt.com/images/2016/03/23/dining/23PAIRING/23PAIRING-mediumThreeByTwo252.jpg,45 minutes
249,Baked Fish and Chips,Melissa Clark,https://static01.nyt.com/images/2016/03/17/multimedia/clark-fish-and-chips/clark-fish-and-chips-mediumThreeByTwo252.jpg,1 hour
250,Caramelized Citrus,Sam Sifton,https://static01.nyt.com/images/2016/03/20/magazine/20eat1/20mag-20eat-t_CA1-mediumThreeByTwo252.jpg,"30 minutes, plus chilling"
251,Pot Roast,Brett Anderson,https://static01.nyt.com/images/2018/10/19/dining/pot-roast/pot-roast-mediumThreeByTwo252.jpg,3 hours
252,Chickpea and Fennel Ratatouille,Mark Bittman,https://static01.nyt.com/images/2013/09/18/dining/20130918-FLEX-slide-FMJU/20130918-FLEX-slide-FMJU-tmagSF.jpg,"About 1 1/2 hours, largely unattended"
253,Hot Pepper Fettuccine With Roasted Butternut Squash,David Tanis,https://static01.nyt.com/images/2016/03/02/dining/02KITCHEN4/02KITCHEN4-mediumThreeByTwo252.jpg,1 1/2 hours
254,Cabbage and Potato Gratin,Martha Rose Shulman,https://static01.nyt.com/images/2016/03/02/dining/02MARTHA/02MARTHA-mediumThreeByTwo252.jpg,2 hours
255,Pear and Almond Danish Braid,Samantha Seneviratne,https://static01.nyt.com/images/2015/12/23/dining/23JPDANISH2/23JPDANISH2-mediumThreeByTwo252.jpg,"1 hour, plus several hours for resting and making dough"
256,Baked Cheesy Pasta With Wild Mushrooms,Melissa Clark,https://static01.nyt.com/images/2016/01/28/multimedia/clark-mushroom-pasta/clark-mushroom-pasta-mediumThreeByTwo252.jpg,45 minutes
257,Tofu Mushroom Soup,Martha Rose Shulman,https://static01.nyt.com/images/2016/02/10/dining/10MARTHA/10MARTHA-mediumThreeByTwo252.jpg,1 hour 45 minutes
258,Chili Verde,Pierre Franey,https://static01.nyt.com/applications/cooking/1fa6bc8/assets/37.png?1,1 hour
259,Seeded Pecan Granola,The New York Times,https://static01.nyt.com/images/2016/02/24/dining/24ANGELES/24ANGELES-mediumThreeByTwo252.jpg,1 hour 15 minutes
260,Sour-Cream Coffee Cake,Robert Farrar Capon,https://static01.nyt.com/images/2015/12/10/dining/10COOKING-SOURCRMCOFFEECAKE1/10COOKING-SOURCRMCOFFEECAKE1-mediumThreeByTwo252.jpg,1 hour
261,"Stir-Fried Cabbage, Tofu and Red Pepper",Martha Rose Shulman,https://static01.nyt.com/images/2013/02/05/science/08recipehealth/08recipehealth-videoSixteenByNine310-v2.jpg,About 15 minutes
262,Chicken Tacos With Chipotle,David Tanis,https://static01.nyt.com/images/2016/01/27/dining/27KITCH1/27KITCH1-mediumThreeByTwo252.jpg,1 hour
263,Cod Cakes,Sam Sifton,https://static01.nyt.com/images/2017/08/09/dining/09COOKING-PADTHAI7/09COOKING-PADTHAI7-mediumThreeByTwo252-v2.jpg,"1 hour, plus chilling"
264,Roasted Winter Tomatoes,Amanda Cohen,https://static01.nyt.com/images/2016/02/10/dining/10JPTOMATOES3/10JPTOMATOES3-mediumThreeByTwo252.jpg,"About 2 hours, plus cooling"
265,Roasted Tomatoes and Whipped Feta on Toast,Amanda Cohen,https://static01.nyt.com/images/2016/02/10/dining/10JPTOMATOES/10JPTOMATOES-mediumThreeByTwo252.jpg,1 hour 20 minutes
266,Golden Leek and Potato Soup,Melissa Clark,https://static01.nyt.com/images/2016/02/12/multimedia/clark-potato-leek/clark-potato-leek-mediumThreeByTwo252.jpg,1 hour 15 minutes
267,Vietnamese Braised Pork Ribs,David Tanis,https://static01.nyt.com/images/2016/02/17/dining/17KITCH1/17KITCH1-mediumThreeByTwo252.jpg,"2 hours, plus marinating"
268,Gjelina’s Roasted Yams,Sam Sifton,https://static01.nyt.com/images/2016/02/21/magazine/21eat/21mag-21eat-t_CA1-mediumThreeByTwo252.jpg,1 hour
269,Involtini,Nigella Lawson,https://static01.nyt.com/images/2016/01/19/dining/19COOKING_INVOLTINI1/19COOKING_INVOLTINI1-mediumThreeByTwo252-v2.jpg,1 hour 20 minutes
270,Coq au Riesling,Nigella Lawson,https://static01.nyt.com/images/2016/01/23/dining/23COOKING_COQAURIESLING1/23COOKING_COQAURIESLING1-mediumThreeByTwo252.jpg,1 1/2 hours plus overnight refrigeration (optional)
271,Chicken Mafe,Francis Lam,https://static01.nyt.com/images/2018/12/11/dining/fl-chicken-mafe/merlin_146005311_3415422c-27b6-46e4-a416-3b966f5dcf2a-mediumThreeByTwo252.jpg,"1 hour 45 minutes, plus marinating time"
272,Mushroom Soup Gratinée,Florence Fabricant,https://static01.nyt.com/images/2016/02/10/dining/10PAIRING/10PAIRING-mediumThreeByTwo252.jpg,1 hour plus final broiling
273,Spicy Chinese Mustard Chicken Wings,Julia Moskin,https://static01.nyt.com/images/2016/02/02/dining/02CHINESEREX/02CHINESEREX-mediumThreeByTwo252.jpg,"1 hour, plus 8 to 24 hours' brining"
274,Chocolate Peppermint Bars,Melissa Clark,https://static01.nyt.com/images/2016/02/12/dining/chocolate-peppermint-bar/chocolate-peppermint-bar-mediumThreeByTwo252.jpg,"1 hour 10 minutes, plus chilling"
275,Seared Sea Scallops With Ginger-Lime Butter,David Tanis,https://static01.nyt.com/images/2016/02/10/dining/10KITCHEN1/10KITCHEN1-mediumThreeByTwo252-v2.jpg,1 hour
276,Loaded Nachos,Sam Sifton,https://static01.nyt.com/images/2016/02/03/dining/03SUPERREEFER/03SUPERREEFER-mediumThreeByTwo252.jpg,30 minutes
277,Cassoulet,Sam Sifton,https://static01.nyt.com/images/2016/01/24/magazine/24eat/24eat-mediumThreeByTwo252-v2.jpg,5 hours
278,Mississippi Roast,Sam Sifton,https://static01.nyt.com/images/2016/01/27/dining/27ROAST1/27ROAST1-mediumThreeByTwo252.jpg,6 1/2 to 8 1/2 hours
279,Cheese Danish,Samantha Seneviratne,https://static01.nyt.com/images/2015/12/23/dining/23JPDANISH4/23JPDANISH4-mediumThreeByTwo252.jpg,"1 hour, plus several hours for resting and making dough"
280,Buttery Breakfast Casserole,Melissa Clark,https://static01.nyt.com/images/2015/12/23/dining/23SUB2APPE/23SUB2APPE-mediumThreeByTwo252.jpg,"1 1/2 hours, plus 4 hours or overnight chilling"
281,Irish Brown Soda Bread,David Tanis,https://static01.nyt.com/images/2015/12/30/dining/30KITCH2/30KITCH2-mediumThreeByTwo252.jpg,About 1 hour
